time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_range,train/entropy_loss,train/approx_kl,train/loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/n_updates,eval/mean_ep_length,eval/mean_reward
983040,80,743,1322,0.2,-0.015011329533202418,0.0019422224,154.0613555908203,0.9957127571105957,201.46280036866665,0.0023421273717152266,0.0003,0.0128662109375,790,,
995328,81,745,1335,0.2,-0.013885323363471496,0.0025110526,149.3375701904297,0.9977426528930664,125.95869755446911,0.0004546014958274706,0.0003,0.009000651041666667,800,,
1007616,82,746,1349,0.2,-0.01602504125221458,0.002377992,49.819190979003906,0.9948602318763733,113.22833672265212,-0.0002757668145932257,0.0003,0.0084228515625,810,,
1019904,83,747,1364,0.2,-0.015900554773240098,0.00091281673,246.60072326660156,0.9912835359573364,370.3174056092898,0.0012478917444241234,0.0003,0.006917317708333333,820,,
1020000,,,,0.2,-0.014983545483755734,0.00086739013,130.3427734375,0.9944976568222046,191.96096935172875,0.0021049654016678685,0.0003,0.009407552083333333,830,8760.0,75241.69126853943
1032192,84,743,1388,,,,,,,,,,,,
1044480,85,745,1401,0.2,-0.015038785234870981,0.00097216974,154.54266357421875,0.9970505833625793,164.42608571251233,0.0012650400276470464,0.0003,0.0089111328125,840,,
1056768,86,746,1416,0.2,-0.016833763279191772,0.0016989826,56.49191665649414,0.9960514903068542,122.89691589872042,0.0010422821273095907,0.0003,0.009456380208333334,850,,
1069056,87,746,1431,0.2,-0.016578028334909806,0.001033378,169.94039916992188,0.9926337003707886,316.3258093814055,0.0009197965014512495,0.0003,0.006087239583333333,860,,
1080000,,,,0.2,-0.015062078921558471,0.0025102189,33.750816345214844,0.995250940322876,163.4176746447881,0.004639229906994539,0.0003,0.012955729166666667,870,8760.0,76949.40363230705
1081344,88,741,1457,,,,,,,,,,,,
1093632,89,742,1471,0.2,-0.01645360490965686,0.0016655285,50.462100982666016,0.9980906844139099,109.75852684577306,0.0016552161083382088,0.0003,0.010636393229166667,880,,
1105920,90,743,1486,0.2,-0.01992306071715575,0.051216125,28.58928680419922,0.9976047873497009,76.05861121316751,0.0014483366707281676,0.0003,0.012752278645833334,890,,
1118208,91,743,1503,0.2,-0.036507043373179233,0.00076944445,8616.287109375,0.9673272371292114,1571.0321552753448,-0.00013724699056183454,0.0003,0.008308919270833333,900,,
1130496,92,743,1520,0.2,-0.01989281948929905,0.0074414513,98.60103607177734,0.9966298341751099,151.7748670677344,0.002012587845577703,0.0003,0.014510091145833333,910,,
1140000,,,,0.2,-0.024087307692025207,0.0028743104,31.539377212524414,0.9978871941566467,121.40621080795924,0.000683908131516849,0.0003,0.013875325520833334,920,8760.0,72843.29379982948
1142784,93,739,1546,,,,,,,,,,,,
1155072,94,738,1563,0.2,-0.03644315495997338,0.00614355,50.58906555175781,0.9945225715637207,185.51644131739934,0.001393088433057225,0.0003,0.01650390625,930,,
1167360,95,738,1580,0.2,-0.04152147309335608,0.001908894,127.2387466430664,0.9912675619125366,196.15489416917165,0.0009272925769134114,0.0003,0.013248697916666666,940,,
1179648,96,738,1596,0.2,-0.023335149921270688,0.012285456,233.7889862060547,0.9933969378471375,293.33455342849095,-0.0002700907774851657,0.0003,0.0167236328125,950,,
1191936,97,740,1610,0.2,-0.02143770274290849,0.0035928953,94.47039794921875,0.9973265528678894,155.1771201690038,0.0008094664534534483,0.0003,0.015071614583333334,960,,
1200000,,,,0.2,-0.021921796561067217,0.0057845972,64.85812377929688,0.9981257319450378,140.09829201102258,0.0011209035515397166,0.0003,0.013460286458333333,970,8760.0,75749.66715126038
1204224,98,736,1634,,,,,,,,,,,,
1216512,99,737,1650,0.2,-0.02386390581359592,0.014655123,49.5958251953125,0.9967432022094727,138.20000850558282,-0.0006338833639650451,0.0003,0.017789713541666665,980,,
